"FRAS_ref","Description","Type","Controller","OTU_OMU","BUS_GATE","Easting","Northing","Type_Of_Control","SCOOT_REGION","SCOOT_STATUS","SCOOT_COMMISSION_DATE","SCOOT_ANTICIP_DATE","SCOOT_PROGRESS","Authority","HWAYS_AGENCY_AREA","HA_AGENCY_MAINTAINED","Longitude","Latitude","Final_Longitude","Final_Latitude","_COL7","NIS_node","_Object","COMMENTS","Crossing_Facility"
"889","Talbot Rd/Warwick Rd","Signal","ST800","Gemini UTMC","NO",381080,395783,"UTC_FT","","",,"","","Trafford","0","",-2.28641,53.45847,"","",0,0,"Point","",""
"890","Station Rd /South of Lees St","Pelican","ST750","Gemini UTMC","NO",377905,402386,"UTC_FT","","",,"","","Salford","0","",-2.334692,53.517696,"","",1,0,"Point","","PEDESTRIAN"
"3/047","St James's Rd /North of Marlborough Rd","Puffin","ST700","Gemini GSM","NO",383511,400777,"RMS","","",,"","","Manchester","0","",-2.25006,53.503439,"","",1,0,"Point","","PEDESTRIAN"
"892","Liverpool Rd /East of Thorp St","Puffin","ST750","Gemini UTMC","NO",375565,397864,"SCOOT","FP","COMPLETED",20030101,"","","Salford","0","",-2.369628,53.476946,"","",1,1,"Point","","PEDESTRIAN"
"901","Wellington Rd North/Manchester Rd","Signal","ST800","Gemini UTMC","NO",388215,392553,"SCOOT","GH","COMPLETED",20030101,"","","Stockport","0","",-2.178831,53.429647,"","",0,1,"Point","",""
"902","Wellington Rd North/Heaton Moor Rd/School Ln","Signal","ST900","Gemini UTMC","NO",388338,392247,"SCOOT","GH","COMPLETED",20030101,"","","Stockport","0","",-2.176969,53.426899,"","",1,1,"Point","",""
"903","Wellington Rd South/Heaton Ln/Mersey Sq","Signal","ST800","Gemini UTMC","NO",389217,390396,"SCOOT","GS","COMPLETED",20041101,"","","Stockport","0","",-2.16367,53.410279,"","",0,1,"Point","",""
"904","Wellington Rd South/St Petersgate","Signal","ST900 ELV","Gemini UTMC","NO",389403,390133,"SCOOT","GS","COMPLETED",20041101,"","","Stockport","0","",-2.160871,53.407922,"","",1,1,"Point","",""
"905","Wellington Rd South/Greek St","Signal","ST900 ELV","Gemini UTMC","NO",389543,389828,"SCOOT","GS","COMPLETED",20041101,"","","Stockport","0","",-2.158761,53.405182,"","",0,1,"Point","","TOUCAN"
"906","Wellington Rd South/Longshut Ln","Signal","ST800","Gemini UTMC","NO",389723,389388,"SCOOT","GS (G","COMPLETED",20040601,"","","Stockport","0","",-2.156032,53.40123,"","",1,1,"Point","",""
"907","Wellington Rd South/Bramhall Ln","Signal","ST800","Gemini UTMC","NO",389935,389087,"SCOOT","GS","COMPLETED",20040501,"","","Stockport","0","",-2.152834,53.398529,"","",0,1,"Point","",""
"908","Buxton Rd/Kennerley Rd","Signal","ST800","Gemini UTMC","NO",390364,388466,"SCOOT","GS","COMPLETED",20050201,"","","Stockport","0","",-2.146363,53.392955,"","",0,1,"Point","",""
"909","Manchester Rd/School Ln","Signal","ST800","Gemini UTMC","NO",388439,392424,"SCOOT","GH","COMPLETED",20030101,"","","Stockport","0","",-2.175455,53.428494,"","",0,1,"Point","",""
"910","Edward St/Waterloo Rd/Middle Hillgate","Signal","ST800","Gemini UTMC","NO",389809,390012,"UTC_FT","","",,"","","Stockport","0","",-2.154759,53.406841,"","",0,0,"Point","",""
"912","Chestergate/King St West","Toucan","ST900","Gemini UTMC","NO",389017,390193,"UTC_FT","","",,"","","Stockport","0","",-2.166678,53.408449,"","",0,0,"Point","","TOUCAN"
"914","Buxton Rd/Dialstone Ln/Poplar Grove","Signal","ST800","Gemini UTMC","NO",391416,387719,"SCOOT","GG","COMPLETED",20030101,"","","Stockport","0","",-2.130521,53.386258,"","",0,1,"Point","",""
"915","Buxton Rd/Nangreave Rd","Signal","ST800","Gemini UTMC","NO",390135,388807,"SCOOT","GS","COMPLETED",20040601,"","","Stockport","0","",-2.149817,53.396016,"","",0,1,"Point","",""
"916","Shaw Heath/Lowfield Rd","Signal","ST800","Gemini UTMC","NO",389575,389117,"SCOOT","GS","COMPLETED",,"","","Stockport","0","",-2.158249,53.398791,"","",0,0,"Point","",""
"917","King St West/Daw Bank/Wood St","Signal","ST950ELV in","OTU Gemini UTMC","NO",389032,390064,"SCOOT","","",,"","","Stockport","0","",-2.166443,53.407294,"","",1,0,"Point","",""
"918","Mercian Way /South of Armoury Roundabout","Pelican","ST750 ELV","Gemini UTMC","NO",389258,389519,"UTC_FT","","",,"","","Stockport","0","",-2.163026,53.402395,"","",1,0,"Point","","PEDESTRIAN"
"920","London Rd /South of Grundey St","Puffin","ST700","Unspecified","NO",392184,386913,"SCOOT","GG","COMPLETED",20030101,"","","Stockport","0","",-2.118956,53.379026,"","",1,1,"Point","","PEDESTRIAN"
"921","Wellington Rd North /South of Warwick Rd","Puffin","ST750","Gemini UTMC","NO",388603,391657,"SCOOT","GH","COMPLETED",20030101,"","","Stockport","0","",-2.172959,53.421602,"","",1,1,"Point","","PEDESTRIAN"
"923","Wellington Rd North/Belmont Way","Signal","ST800","Gemini UTMC","NO",388882,390933,"SCOOT","GS","COMPLETED",20030101,"","","Stockport","0","",-2.168735,53.4151,"","",1,1,"Point","","PEGASUS"
"924","Wellington Rd North/Georges Rd/Wyatt St","Signal","ST800","Gemini UTMC","NO",388956,390721,"SCOOT","GS","COMPLETED",20030101,"","","Stockport","0","",-2.167615,53.413196,"","",1,1,"Point","",""
"925","Buxton Rd /North of Mile End Ln","Puffin","ST700","Gemini UTMC","NO",390543,388278,"SCOOT","GS","COMPLETED",20050201,"","","Stockport","0","",-2.143665,53.391269,"","",1,1,"Point","","PEDESTRIAN"
"926","Buxton Rd /South of Woodsmoor Ln","Puffin","ST700","Gemini UTMC","NO",390739,388130,"SCOOT","GS","COMPLETED",20050201,"","","Stockport","0","",-2.140714,53.389942,"","",1,1,"Point","","PEDESTRIAN"
"927","Buxton Rd /North of Cherry Tree Ln","Puffin","ST700","Gemini UTMC","NO",391042,387971,"SCOOT","GS","COMPLETED",20050201,"","","Stockport","0","",-2.136153,53.388518,"","",1,1,"Point","","PEDESTRIAN"
"928","Wellington Rd North /North of Brackley Rd","Puffin","ST750","Gemini UTMC","NO",388461,391985,"SCOOT","GH","COMPLETED",20030101,"","","Stockport","0","",-2.175108,53.424547,"","",1,1,"Point","","PEDESTRIAN"
"929","Wellington Rd South /North of St Thomas Place","Puffin","ST750","Gemini UTMC","NO",389623,389626,"SCOOT","GS","COMPLETED",20040901,"","","Stockport","0","",-2.157544,53.403367,"","",1,1,"Point","","PEDESTRIAN"
"930","Wellington Rd North /South of Milwain Dr","Puffin","ST750","Gemini UTMC","NO",388057,392812,"SCOOT","GH","COMPLETED",20030101,"","","Stockport","0","",-2.181219,53.431971,"","",1,1,"Point","","PEDESTRIAN"
"7/190","Stockport Rd/Councillor Ln","Signal","ST900 ELV","Gemini MOVA GSM","NO",386539,388774,"MOVA","","",,"","","Stockport","0","",-2.203893,53.395639,"","",0,0,"Point","",""
"932","Georges Rd/Travis Brow","Signal","ST800","Gemini UTMC","NO",388669,390411,"UTC_FT","","",,"","","Stockport","0","",-2.171921,53.410403,"","",1,0,"Point","","TOUCAN"
"933","Brinksway/Brinksway Bridge","Signal","ST900","Gemini UTMC","NO",388557,390042,"UTC_FT","","",,"","","Stockport","0","",-2.173592,53.407084,"","",1,0,"Point","",""
"934","Shaw Heath/Longshut Ln West","Signal","ST800","Gemini UTMC","NO",389515,389322,"SCOOT","GS","COMPLETED",,"","","Stockport","0","",-2.159158,53.400633,"","",0,0,"Point","",""
"935","Longshut Ln/Higher Hillgate","Signal","ST800","Gemini UTMC","NO",389867,389412,"SCOOT","GS (G","COMPLETED",20040601,"","","Stockport","0","",-2.153867,53.401449,"","",1,1,"Point","",""
"936","Shaw Heath/Booth St","Signal","ST800","Gemini UTMC","NO",389350,389490,"UTC_FT","","",,"","","Stockport","0","",-2.161645,53.402139,"","",0,0,"Point","",""
"937","Bramhall Ln/Garners Ln","Signal","ST800","Gemini UTMC","NO",389921,388250,"SCOOT","GB","COMPLETED",20090717,"","","Stockport","0","",-2.153017,53.391005,"","",1,1,"Point","",""
"938","Bramhall Ln/Kennerley Rd","Signal","ST800","Gemini UTMC","NO",389938,388401,"SCOOT","GB","COMPLETED",20090717,"","","Stockport","0","",-2.152767,53.392366,"","",1,1,"Point","",""
"941","Bramhall Ln /North of Winifred Rd/South of Heathfield Rd","Puffin","ST700","Unspecified","NO",389940,388545,"SCOOT","GB","COMPLETED",20090717,"","","Stockport","0","",-2.152747,53.393654,"","",0,1,"Point","","PEDESTRIAN"
"942","London Rd/New Moor Ln/Buxton Rd","Signal","ST800","Gemini UTMC","NO",391652,387496,"SCOOT","GG","COMPLETED",20030101,"","","Stockport","0","",-2.126969,53.384259,"","",1,1,"Point","",""
"847","Shaw Heath /East of Flint St","Puffin","ST700","Unspecified","NO",389404,389440,"SCOOT","GS","COMPLETED",,"","","Stockport","0","",-2.160827,53.401693,"","",1,0,"Point","","PEDESTRIAN"
"7/183","Adswood Rd /West of Larkhill Rd","Puffin","ST700","Gemini GSM","NO",388247,387784,"RMS","","",,"","","Stockport","0","",-2.178171,53.386782,"","",1,0,"Point","","PEDESTRIAN"
"948","Heaton Moor Rd /North of Tatton Rd South","Puffin","ST750","Gemini UTMC","NO",388207,392068,"UTC_FT","","",,"","","Stockport","0","",-2.178933,53.425287,"","",1,0,"Point","","PEDESTRIAN"
"7/171","Albert Rd/Turves Rd /Cheadle Rd/Hulme Hall Rd","Signal","ST800","Gemini MOVA PSTN","NO",387188,386630,"MOVA","","",,"","","Stockport","0","",-2.194046,53.376384,"","",0,0,"Point","",""
"7/172","Albert Rd/Station Rd/Ladybridge Rd/Queens Rd","Signal","ST800","Gemini MOVA PSTN","NO",387437,386855,"MOVA","","",,"","","Stockport","0","",-2.190312,53.378412,"","",1,0,"Point","",""
"7/182","Ladybridge Rd/Adswood Rd/Birdhall Rd/Councillor Ln","Signal","ST800","Gemini MOVA GSM","NO",388095,387792,"MOVA","","",,"","","Stockport","0","",-2.180456,53.38685,"","",0,0,"Point","",""
"7/188","Stockport Rd/Edgeley Rd","Signal","ST900","Gemini MOVA GSM","NO",387228,389328,"MOVA","","",,"","","Stockport","0","",-2.193554,53.400636,"","",1,0,"Point","","TOUCAN"
"956","Carrington Rd/Brinnington Rd","Signal","ST800","Gemini UTMC","NO",390398,391045,"SCOOT","RGP","COMPLETE",20140901,"","","Stockport","0","",-2.14593,53.416137,"","",1,1,"Point","","TOUCAN"
"957","New Zealand Rd/Carrington Rd","Signal","ST800","Gemini UTMC","NO",390828,390943,"SCOOT","RGP","COMPLETE",20140901,"","","Stockport","0","",-2.139458,53.415228,"","",1,1,"Point","",""
"958","Stockport Rd West /West of Osborne St","Pelican","ST750","TC12","NO",391447,391160,"UTC_FT","","",,"","","Stockport","0","",-2.130151,53.417189,"","",1,0,"Point","","PEDESTRIAN"
"959","Stockport Rd West/Ashton Rd","Signal","ST800","Gemini UTMC","NO",392024,391618,"SCOOT","GA","COMPLETED",20090717,"","COMPLETE","Stockport","0","",-2.121481,53.421315,"","",1,1,"Point","",""
"960","Stockport Rd East/Lower Bents Ln","Signal","ST900","Gemini UTMC","NO",392506,391760,"SCOOT","GA","COMPLETED",20090717,"","COMPLETE","Stockport","0","",-2.114232,53.422598,"","",1,1,"Point","",""
"7/179","Hyde Rd/George Ln","Signal","ST800","Gemini MOVA GSM","NO",393218,391981,"MOVA","","",,"","","Stockport","0","",-2.103523,53.424594,"","",1,0,"Point","",""
"7/187","Hyde Rd /E of Mill Ln/Woodley Precinct","Puffin","ST700","PSTN 3U","NO",393390,392078,"RMS","","",,"","","Stockport","0","",-2.100936,53.425469,"","",1,0,"Point","","PEDESTRIAN"
"7/173","Station Rd /North of Warren Rd","Puffin","ST700","Gemini GSM","NO",387471,386728,"RMS","","",,"","","Stockport","0","",-2.189796,53.377272,"","",1,0,"Point","","PEDESTRIAN"
"965","Buxton Rd /South of Regent Rd","Toucan","ST700","Gemini UTMC","NO",390261,388619,"SCOOT","GS","COMPLETED",20040901,"","","Stockport","0","",-2.147916,53.394328,"","",1,1,"Point","","TOUCAN"
"7/174","Station Rd /North of Mellor Rd","Puffin","ST700","Gemini GSM","NO",387559,386573,"RMS","","",,"","","Stockport","0","",-2.188467,53.375881,"","",1,0,"Point","","PEDESTRIAN"
"969","Carrington Rd /South of Crescent Rd","Pelican","ST750","Gemini UTMC","NO",390729,391010,"SCOOT","RGP","COMPLETE",20140901,"","","Stockport","0","",-2.140949,53.415828,"","",1,1,"Point","","PEDESTRIAN"
"978","Didsbury Rd/Green Ln","Signal","ST800","Gemini UTMC","NO",388317,390343,"UTC_FT","","",,"","","Stockport","0","",-2.177218,53.409782,"","",1,0,"Point","","TOUCAN"
"590","M60 Jct 1 East Bound off slip/Travis Brow Roundabout North side /AREA10","Signal (Trunk)","ST800","Gemini UTMC","NO",388462,390349,"UTC_FT","","",,"","","Stockport","10","Yes",-2.175036,53.409842,"","",1,0,"Point","",""
"7/178","Stockport Rd/Roscoes Roundabout /M60 Jct 2/AREA10","Signal (Trunk)","ST800","Gemini MOVA GSM","NO",386829,389015,"MOVA","","",,"","","Stockport","10","Yes",-2.199539,53.397808,"","",1,0,"Point","",""
"981","Brinksway Bridge/Yew St","Signal","ST900","Gemini UTMC","NO",388521,390112,"UTC_FT","","",,"","","Stockport","0","",-2.174136,53.407713,"","",1,0,"Point","",""
"982","Portwood Roundabout/M60 Jct 27 East Bound off slip/Tiviot Way/AREA10","Signal (Trunk)","ST800","Gemini UTMC","NO",390124,391087,"SCOOT","RGP","COMPLETE",20140901,"","","Stockport","10","Yes",-2.150054,53.416509,"","",1,1,"Point","",""
"983","Stockport Rd West/The Broadway","Signal","ST800","Gemini UTMC","NO",392244,391693,"SCOOT","GA","COMPLETED",20090717,"","COMPLETE","Stockport","0","",-2.118172,53.421992,"","",1,1,"Point","",""
"984","Wellington Rd South/Railway Rd","Signal","ST900 ELV","Gemini UTMC","NO",389497,389963,"SCOOT","GS","COMPLETED",20041101,"","","Stockport","0","",-2.15945,53.406394,"","",1,1,"Point","",""
"1000","Middleton Rd/Sheepfoot Ln","Signal","ST800","Gemini UTMC","NO",383755,403632,"SCOOT","CB","COMPLETED",20110728,"","","Manchester","0","",-2.246531,53.529109,"","",0,1,"Point","",""
"1001","Middleton Rd/Crumpsall Ln","Signal","ST800","Gemini UTMC","NO",383609,402438,"UTC_FT","","",,"","","Manchester","0","",-2.24867,53.518372,"","",0,0,"Point","",""
"1003","Wilmslow Rd North of Grandale St","Toucan","ST750ELV","Gemini UTMC","NO",385223,395256,"SCOOT","","",,"","","Manchester","0","",-2.223989,53.453866,"","",1,0,"Point","","PEDESTRIAN"
"1005","Rochdale Rd/Charlestown Rd/Middleton Old Rd","Signal","ST800","Gemini UTMC","NO",385863,402764,"UTC_FT","","",,"","","Manchester","0","",-2.214692,53.521368,"","",1,0,"Point","",""
"1006","Rochdale Rd /North of Church Ln","Pelican","500","Gemini UTMC","NO",385886,401744,"UTC_FT","","",,"","","Manchester","0","",-2.214299,53.512201,"","",1,0,"Point","","PEDESTRIAN"
"1007","Lloyd St North/Denmark Rd","Signal","ST900","Gemini UTMC","NO",384453,395987,"UTC_FT","C3","PLANNED",,"Major scheme bid 2009/10","","Manchester","0","",-2.235621,53.460415,"","",1,0,"Point","",""
"1010","Princess Rd /South of Bowes St","Double Pelican","ST750","Gemini UTMC","NO",383828,394988,"SCOOT","CP","COMPLETED",20100301,"","","Manchester","0","",-2.244983,53.451416,"","",1,1,"Point","","PEDESTRIAN"
"1011","Oldham Rd/Grimshaw Ln/Monsall Rd","Signal","ST800","Gemini UTMC","NO",386623,400193,"SCOOT","CO","COMPLETE",20160323,"","","Manchester","0","",-2.203118,53.498279,"","",0,1,"Point","",""
"1012","Bury New Rd/Waterloo Rd","Signal","ST800","Gemini UTMC","NO",383428,399842,"SCOOT","RFY","COMPLETE",20130701,"","","Manchester","0","",-2.251264,53.495036,"","",1,1,"Point","",""
"1013","Princess Rd /South of Greame St","Double Puffin","ST750","Gemini UTMC","NO",383820,395400,"SCOOT","CP","COMPLETED",20100301,"","","Manchester","0","",-2.245124,53.455119,"","",0,1,"Point","","PEDESTRIAN"
"1014","Princess Rd /South of Raby St","Double Puffin","ST750","Gemini UTMC","NO",383823,395706,"SCOOT","CP","COMPLETED",,"","","Manchester","0","",-2.245095,53.45787,"","",1,0,"Point","","PEDESTRIAN"
"1015","Fog Ln/East of Elmsmere Rd","Pelican","ST750","","NO",385675,391630,"SCOOT","CA","COMPLETE",20160726,"","","Manchester","0","",-2.217017,53.421287,"","",1,1,"Point","","PEDESTRIAN"
"1016","Corporation St/Balloon St/METROLINK","Signal","ST950ELV in","Gemini UTMC","NO",384091,398868,"SCOOT","","",,"","","Manchester","0","",-2.241219,53.486299,"","",1,0,"Point","",""
"1017","Nicholas Croft/Shude Hill/Withy Grove/METROLINK","Signal","ST800","Gemini UTMC","NO",384246,398695,"UTC_FT","","",,"","","Manchester","0","",-2.238875,53.484749,"","",1,0,"Point","",""
"1018","Dantzic St/Balloon St/METROLINK","Signal","ST900","Unspecified","NO",384200,398800,"UTC_FT","","",,"","","Manchester","0","",-2.239573,53.485691,"","",0,0,"Point","",""
"1019","Great Ancoats St/Lever St","Signal","ST800","Gemini UTMC","NO",384726,398627,"SCOOT","IC","COMPLETED",20080227,"","","Manchester","0","",-2.231638,53.484152,"","",1,1,"Point","",""
"1020","Great Ancoats St/Newton St","Signal","ST800","Gemini UTMC","NO",384798,398563,"SCOOT","IC","COMPLETED",20080227,"","","Manchester","0","",-2.23055,53.483579,"","",1,1,"Point","",""
"1022","Princess Rd /North of Whitchurch Rd","Double Pelican","ST750","Gemini UTMC","NO",383799,393251,"SCOOT","CP","COMPLETED",20100623,"","","Manchester","0","",-2.24533,53.435802,"","",1,1,"Point","","PEDESTRIAN"
"1025","Wilmslow Rd /South of Claremont Rd","Puffin","ST700","Gemini UTMC","NO",385292,395153,"UTC_FT","","",,"","","Manchester","0","",-2.22295,53.45294,"","",1,0,"Point","","PEDESTRIAN"
"1026","Deansgate /North of Brazennose St","Puffin","ST700","Unspecified","NO",383605,398176,"UTC_FT","","",,"","","Manchester","0","",-2.248507,53.480064,"","",1,0,"Point","","PEDESTRIAN"
"1029","Wilmslow Rd/Great Western St","Signal","ST950 ELV","Gemini UTMC","NO",385113,395529,"SCOOT","","",,"","","Manchester","0","",-2.225659,53.456317,"","",1,0,"Point","",""
"1030","Victoria St/West of Fennel St","Puffin","ST700","Unspecified","NO",383848,398807,"UTC_FT","FT","",,"","","Manchester","0","",-2.244878,53.485743,"","",1,0,"Point","","PEDESTRIAN"
"1031","Whitworth St/Sackville St","Signal","ST800","Gemini UTMC","NO",384445,397746,"UTC_FT","","",,"","","Manchester","0","",-2.235828,53.476225,"","",0,0,"Point","",""
"1034","Dickenson Rd/Birch Ln/Birch Hall Ln","Signal","ST900","Gemini UTMC","NO",386471,395407,"UTC_FT","","",,"","","Manchester","0","",-2.205202,53.455257,"","",1,0,"Point","",""
"1035","Regent Rd/Water St/Dawson St","Signal","ST800","Gemini UTMC","NO",382719,397659,"SCOOT","FA","COMPLETED",20100309,"","","Manchester","0","",-2.261824,53.475389,"","",1,1,"Point","",""
"1036","Liverpool Rd/Water St","Signal","ST900","","NO",382898,397869,"UTC_FT","","",,"","","Manchester","0","",-2.259143,53.477283,"","",1,0,"Point","",""
"1038","Water St /South of Quay St","Pelican","ST750","Gemini UTMC","NO",383002,397999,"UTC_FT","","",,"","","Manchester","0","",-2.257583,53.478454,"","",1,0,"Point","","PEDESTRIAN"
"1040","Princess Rd/Platt Ln","Signal","ST900","Gemini UTMC","NO",383862,394418,"SCOOT","CP","COMPLETED",20100330,"","","Manchester","0","",-2.244441,53.446294,"","",1,1,"Point","",""
"1042","Pottery Ln/Kirkmanshulme Ln","Signal","ST900","Gemini UTMC","NO",386936,395963,"SCOOT","CX","COMPLETED",20110826,"","","Manchester","0","",-2.198223,53.460267,"","",1,1,"Point","",""
"1043","Palatine Rd /South of Everett Rd","Puffin","ST700","Gemini UTMC","NO",384678,392608,"UTC_FT","","",,"","","Manchester","0","",-2.232067,53.430049,"","",1,0,"Point","","PEDESTRIAN"
"1046","Pottery Ln/Redgate Ln/British Car Auction Access","Signal","ST800","Gemini UTMC","NO",386965,396262,"SCOOT","CX","COMPLETED",20110826,"","","Manchester","0","",-2.197799,53.462955,"","",1,1,"Point","",""
"3/193","Wilmslow Rd/Palatine Rd/Burton Rd","Signal","ST950ELV in","Gemini UTMC","NO",384885,392959,"MOVA","","",,"","","Manchester","0","",-2.228968,53.43321,"","",1,0,"Point","",""
"1048","Cross St /North of St Ann St","Puffin","ST700","Unspecified","NO",383872,398375,"UTC_FT","","",,"","","Manchester","0","",-2.244494,53.481861,"","",1,0,"Point","","PEDESTRIAN"
"1051","Lower Mosley St/Windmill St/METROLINK","Signal","ST900","Gemini UTMC","NO",383815,397764,"UTC_FT","","",,"","","Manchester","0","",-2.245321,53.476368,"","",1,0,"Point","",""
"1057","Princess Rd/Claremont Rd","Signal","TSC3","Gemini UTMC","NO",383818,395208,"SCOOT","CP","COMPLETED",20100301,"","","Manchester","0","",-2.245144,53.453394,"","",1,1,"Point","",""
"1058","Upper Lloyd St/Claremont Rd","Signal","ST800","Gemini UTMC","NO",384345,395199,"UTC_FT","C3","PLANNED",,"Major scheme bid 2009/10","","Manchester","0","",-2.237208,53.453329,"","",1,0,"Point","",""
"1060","Wilmslow Rd /South of Elm Grove","Toucan","ST700","TC12","NO",384686,391033,"SCOOT","CD","COMPLETED",20110309,"","Awaiting Modem reconfig","Manchester","0","",-2.231869,53.415892,"","",1,1,"Point","","TOUCAN"
"1061","Chester Rd /East of Lower Moss Ln","Pelican","ST750","Gemini UTMC","NO",382749,397166,"UTC_FT","","",,"","","Manchester","0","",-2.26135,53.470959,"","",1,0,"Point","","PEDESTRIAN"
"1062","Chester Rd /North of Manson Ave","Puffin","ST750 ELV","Gemini UTMC","NO",382570,397073,"UTC_FT","","",,"","","Manchester","0","",-2.264041,53.470117,"","",1,0,"Point","","PEDESTRIAN"
"1063","Birchfields Rd /South of Meldon Rd","Pelican","ST700","TC12","NO",386287,394746,"UTC_FT","CU","ON-GOING",,"Major Scheme Bid 2008/09","SCOOT ducts in place","Manchester","0","",-2.207944,53.449311,"","",1,0,"Point","","PEDESTRIAN"
"1064","Anson Rd /South of Denison Rd","Pelican","ST700","Gemini UTMC","NO",385872,395423,"UTC_FT","CU","ON-GOING",,"Major Scheme Bid 2008/09","Ducting being installed","Manchester","0","",-2.214224,53.455385,"","",1,0,"Point","","PEDESTRIAN"
"1065","Wilbraham Rd/Lloyd St South/Netherton Rd","Signal","ST800","Gemini UTMC","NO",384207,394092,"SCOOT","CP","COMPLETED",20100713,"","","Manchester","0","",-2.239231,53.443374,"","",1,1,"Point","",""
"1066","Wilbraham Rd/Yew Tree Rd","Signal","ST800","Gemini UTMC","NO",384703,394128,"UTC_FT","","",,"","","Manchester","0","",-2.231765,53.443712,"","",0,0,"Point","",""
"1067","Wilmslow Rd/Didsbury Park/Shirley Institute","Signal","ST800","Gemini UTMC","NO",384999,390412,"UTC_FT","C4","ON-GOING",,"","","Manchester","0","",-2.227131,53.41032,"","",1,0,"Point","",""
"3/163","Errwood Rd/Crossley Rd","Signal","ST800","Gemini MOVA GSM","NO",387185,393218,"MOVA","","",,"","","Manchester","0","",-2.19436,53.4356,"","",1,0,"Point","","TOUCAN"
"3/178","Burnage Ln/Grangethorpe Dr","Signal","ST800","TC12","NO",386796,393277,"UTC_FT","","",,"","","Manchester","0","",-2.200218,53.436121,"","",1,0,"Point","",""
"1070","Wilmslow Rd/Egerton Rd","Signal","ST950ELV in","OTU Gemini UTMC","NO",385509,393758,"UTC_FT","","",,"","","Manchester","0","",-2.219613,53.44041,"","",1,0,"Point","",""
"1071","Wilmslow Rd/Ladybarn Rd/Sherwood St","Signal","ST900","Gemini UTMC","NO",385563,393864,"UTC_FT","","",,"","","Manchester","0","",-2.218811,53.441366,"","",1,0,"Point","",""
"1072","Wilmslow Rd /South of Cromwell Range","Toucan","ST750 ELV","OTU Gemini UTMC","NO",385568,394511,"SCOOT","","",,"","","Manchester","0","",-2.21876,53.44718,"","",1,0,"Point","","PEDESTRIAN"
"1073","Wilmslow Rd /North of Walmer St","Toucan","ST750 ELV","Gemini UTMC","NO",385149,395414,"SCOOT","","",,"","","Manchester","0","",-2.225111,53.455285,"","",1,0,"Point","","PEDESTRIAN"
"1074","Barlow Moor Rd /South of Maitland Ave","Pelican","ST700","Gemini UTMC","NO",382710,392355,"SCOOT","CP","COMPLETED",20100902,"","","Manchester","0","",-2.261673,53.427714,"","",1,1,"Point","","PEDESTRIAN"
"1078","Upper Brook St /North of Swinton Grove","Puffin","ST750 ELV","Gemini UTMC","NO",385190,396268,"UTC_FT","CU","ON-GOING",,"Major Scheme Bid 2008/09","Ducting being installed","Manchester","0","",-2.224534,53.462962,"","",1,0,"Point","","PEDESTRIAN"
"3/176","Birchfields Rd/Fallowfield Shopping Centre Access","Signal","ST900","","NO",386439,394078,"RMS","","",,"","","Manchester","0","",-2.205627,53.443311,"","",1,0,"Point","",""
"1087","Pottery Ln /North of Feltham St","Double Pelican","ST750","","NO",387116,396659,"SCOOT","CX","COMPLETED",20110630,"","","Manchester","0","",-2.195541,53.466527,"","",1,1,"Point","","PEDESTRIAN"
"1088","Pottery Ln/Wenlock Way/Gorton Ln","Signal","ST900","Gemini UTMC","NO",387193,396971,"SCOOT","CX","COMPLETED",20110630,"","","Manchester","0","",-2.194394,53.469333,"","",1,1,"Point","",""
"1089","Hyde Rd/Wellington St/Hengist St","Signal","ST900","Gemini UTMC","NO",388742,396009,"SCOOT","CH","COMPLETED",20100903,"","","Manchester","0","",-2.171031,53.460723,"","",1,1,"Point","",""
"1091","Hyde Rd/Belle Vue St","Signal","ST800","Gemini UTMC","NO",387616,396353,"SCOOT","CH","COMPLETED",20110301,"","","Manchester","0","",-2.187998,53.463789,"","",1,1,"Point","",""
"1092","Ashton Old Rd /East of Capital Rd","Puffin","ST750","Gemini UTMC","NO",389550,397350,"UTC_FT","","",,"","","Manchester","0","",-2.158901,53.472793,"","",1,0,"Point","","PEDESTRIAN"
"1093","Ashton Old Rd /East of Louisa St","Pelican","ST750","Gemini UTMC","NO",388786,397374,"UTC_FT","","",,"","","Manchester","0","",-2.170412,53.472993,"","",1,0,"Point","","PEDESTRIAN"
"1094","Ashton Old Rd /West of Wood St","Puffin","ST750 ELV","Gemini UTMC","NO",387811,397452,"UTC_FT","","",,"","","Manchester","0","",-2.185103,53.473672,"","",1,0,"Point","","PEDESTRIAN"
"1095","Ashton Old Rd /East of Clayton Ln South","Puffin","ST700","Gemini UTMC","NO",387539,397479,"SCOOT","CX","COMPLETED",20110622,"","","Manchester","0","",-2.189202,53.473908,"","",1,1,"Point","","PEDESTRIAN"
"1097","Pottery Ln/Gorton Rd/Ambrose St","Signal","ST900","Unspecified","NO",387208,397131,"SCOOT","CX","COMPLETED",20110630,"","","Manchester","0","",-2.194175,53.470772,"","",1,1,"Point","",""
"1099","Hyde Rd/Pottery Ln/Kirkmanshulme Ln","Signal","ST900","Gemini UTMC","NO",387061,396536,"SCOOT","CX","COMPLETED",20110714,"","","Manchester","0","",-2.196365,53.46542,"","",1,0,"Point","",""
"1100","Oldham Rd /East of Erwin St","Puffin","ST700","Gemini UTMC","NO",387549,400606,"SCOOT","CO","COMPLETE",,"","","Manchester","0","",-2.189173,53.502012,"","",0,1,"Point","","PEDESTRIAN"
