"FRAS_ref","Description","Type","Controller","OTU_OMU","BUS_GATE","Easting","Northing","Type_Of_Control","SCOOT_REGION","SCOOT_STATUS","SCOOT_COMMISSION_DATE","SCOOT_ANTICIP_DATE","SCOOT_PROGRESS","Authority","HWAYS_AGENCY_AREA","HA_AGENCY_MAINTAINED","Longitude","Latitude","Final_Longitude","Final_Latitude","_COL7","NIS_node","_Object","COMMENTS","Crossing_Facility"
"7/180","Chester Rd /North of Lyndhurst Ave","Toucan","ST700","Gemini GSM","No",391858,386144,"RMS","","",,"","","Stockport","","",-2.123842,53.372108,"","",0,0,"","","TOUCAN"
"1409","Ashton Old Rd /West of Claribel St","Toucan","ST700","Unspecified","NO",386238,397594,"UTC_FT","","",,"","","Manchester","","",-2.20881,53.474909,"","",0,0,"","","TOUCAN"
"1602","Manchester Rd/Edinburgh Way/Roch Valley Way","Signal","ST800","Gemini UTMC","NO",388631,411905,"UTC_FT","ES","ON-GOING",,"Autumn 2008","Under construction","Rochdale","","",-2.17328,53.603596,"","",0,0,"","",""
"529","M60 Jct 17/Bury New Rd Roundabout/AREA10","Signal (Trunk)","ST800","Gemini UTMC","NO",380940,404737,"SCOOT","BP","COMPLETED",20070906,"","","Bury","10","Yes",-2.289069,53.538947,"","",1,1,"Point","",""
"4/057","Greengate/Greenside Way/Northgate","Signal","ST800","Gemini MOVA GSM","NO",388493,403940,"MOVA","","",,"","","Oldham","","",-2.175073,53.531999,"","",0,0,"","","TOUCAN"
"4/093","Heyside/Water St/Bullcote Ln","Signal","ST800","Gemini MOVA GSM","NO",393407,407617,"MOVA","","",,"","","Oldham","","",-2.101009,53.565135,"","",0,0,"","",""
"370","Derby Way /South of The Rock","Toucan","ST800","","NO",380908,411093,"UTC_FT","BB","ON-GOING",,"Autumn 2008","Awaiting data transmission & SCOOT model","Bury","","",-2.289939,53.596073,"","",0,0,"","","TOUCAN"
"371","Derby Way /North of Rochdale Rd","Puffin","ST800","","NO",380970,411012,"UTC_FT","BB","",,"","Awaiting data transmission & SCOOT model","Bury","","",-2.288992,53.595349,"","",0,0,"","","PEDESTRIAN"
"373","Rochdale Rd/Derby Way","Signal","ST800","","NO",380936,410827,"UTC_FT","BB","ON-GOING",,"Autumn 2008","Awaiting data transmission & SCOOT model","Bury","","",-2.289503,53.593684,"","",0,0,"","",""
"1609","St Marys Gate/Yorkshire St/Whitworth Rd/John St","Signal","ST950ELV in","Gemini UTMC","NO",389885,413777,"SCOOT","ER","COMPLETED",20100802,"","","Rochdale","","",-2.154388,53.620447,"","",0,1,"","","TOUCAN"
"1608","Yorkshire St /North of Pitt St","Double Toucan","ST700","Unspecified","NO",390029,413812,"SCOOT","ER","COMPLETED",20100802,"","","Rochdale","","",-2.15222,53.620764,"","",0,1,"","","TOUCAN"
"1601","Manchester Rd/Silk St/Bolton Rd","Signal","ST800","Gemini UTMC","NO",388425,411737,"UTC_FT","ES","ON-GOING",,"Autumn 2008","Under construction","Rochdale","","",-2.176388,53.602083,"","",0,0,"","",""
"608","Edge Ln /West of Bridgewater Canal Bridge","Double Toucan","ST700","Unspecified","NO",379810,394378,"SCOOT","IS","COMPLETED",20081030,"","COMPLETE","Trafford","","",-2.305442,53.445795,"","",0,1,"","","TOUCAN"
"2113","Warrington Rd /North of St Pauls Ave","Double Toucan","ST700","","NO",356689,403669,"SCOOT","JB","COMPLETED",20090219,"","","Wigan","","",-2.654825,53.527902,"","",0,1,"","","TOUCAN"
"4/091","Cop Rd/Bullcote Ln","Signal","ST800","Gemini GSM","NO",394184,407541,"RMS","","",,"","","Oldham","","",-2.089276,53.56447,"","",0,0,"","",""
"784","East Ordsall Ln /North of Hampson St","Toucan","ST700","","NO",382698,398142,"SCOOT","","",,"","","Salford","","",-2.262167,53.479728,"","",0,0,"","","TOUCAN"
"372","Rochdale Rd/The Rock Car Park Access","Signal","ST800","","",380820,410846,"UTC_FT","","",,"","","Bury","","",-2.291245,53.593848,"","",0,0,"","","TOUCAN"
"3/162","Mount Rd /North of Matthews Ln","Toucan","ST700","Gemini GSM","NO",388145,394896,"RMS","","",,"","","Manchester","","",-2.179968,53.450702,"","",0,0,"","","TOUCAN"
"1250","Hyde Rd/Tesco Gorton Access","Signal","ST800","Gemini UTMC","NO",388616,396049,"SCOOT","CH","COMPLETED",20100903,"","","Manchester","","",-2.17293,53.461083,"","",0,1,"","",""
"1607","Silk St /East of Manchester Rd","Puffin","ST700","Unspecified","NO",388496,411721,"UTC_FT","","",,"","","Rochdale","","",-2.175305,53.601938,"","",0,0,"","","PEDESTRIAN"
"8/092","Cheetham Hill Rd/Yew Tree Ln","Signal","ST900","Gemini PSTN","NO",395121,396988,"RMS","","",,"","","Tameside","","",-2.074973,53.469619,"","",0,0,"","",""
"10/190","Mesnes St /South of Mesnes Park Terrace","Pelican","ST750","PSTN 3U","",358145,406189,"RMS","","",,"","","Wigan","","",-2.633191,53.550669,"","",0,0,"","","PEDESTRIAN"
"3/125","Central Dr (North Manchester General Hospital)/Central Dr","Pelican","ST750","","",384975,402267,"RMS","","",,"","","Manchester","","",-2.228065,53.51688,"","",0,0,"","","PEDESTRIAN"
"4/078","Glodwick Rd /South of Pitt St East","Pelican","ST750","PSTN 3U","",393718,404353,"RMS","","",,"","","Oldham","","",-2.096256,53.535802,"","",0,0,"","","PEDESTRIAN"
"4/090","Featherstall Rd North/East of Sherwood St","Double Toucan","ST700","Gemini GSM","",391872,405827,"RMS","","",,"","","Oldham","","",-2.124142,53.54903,"","",0,0,"","","TOUCAN"
"3/159","Brownley Rd /S of Hollyhedge Rd Roundabout","Puffin","ST700","Gemini GSM","",383072,387879,"RMS","","",,"","","Manchester","","",-2.255987,53.387497,"","",0,0,"","","PEDESTRIAN"
"8/116","Huddersfield Rd/Grove Rd","Signal","ST800","Gemini MOVA GSM","",397833,399456,"MOVA","","",,"","","Tameside","","",-2.034134,53.491827,"","",0,0,"","",""
"9/060","Edge Ln /West of Cromwell Rd","Toucan","ST700","Gemini GSM","",380384,394265,"RMS","","",,"","","Trafford","","",-2.296798,53.444797,"","",0,0,"","","TOUCAN"
"8/115","Darnton Rd/Mellor Rd","Signal","ST800","Gemini MOVA GSM","",395482,399290,"MOVA","","",,"","","Tameside","","",-2.069554,53.490315,"","",0,0,"","",""
"8/117","Huddersfield Rd /South of Staley Hall Rd","Puffin","ST700","Gemini GSM","",397435,399034,"RMS","","",,"","","Tameside","","",-2.040131,53.48803,"","",0,0,"","","PEDESTRIAN"
"1/076","Church St /West of Chapel St","Puffin","ST700","Gemini GSM","",364369,411496,"RMS","","",,"","","Bolton","","",-2.539875,53.598829,"","",0,0,"","","PEDESTRIAN"
"1408","Ashton Old Rd/Rylance St","Signal","ST800","Gemini UTMC","",386431,397577,"UTC_FT","","COMPLETED",,"","","Manchester","","",-2.205899,53.474759,"","",0,0,"","",""
"268","Raikes Ln/St Peters Way","Signal","ST800","Unspecified","",372763,407804,"SCOOT","AJ","COMPLETE",,"","","Bolton","","",-2.412712,53.566153,"","",0,1,"","",""
"968","Torkington Rd /East of Hazelwood Rd","Toucan","ST700","Unspecified","",392498,386809,"UTC_FT","","",,"","","Stockport","","",-2.114231,53.378092,"","",0,0,"","","TOUCAN"
"347","M60 Jct 23 North Bound offslip & South Bound onslip/Moss Way/AREA10","Signal (Trunk)","ST800","Gemini UTMC","",392099,397923,"SCOOT","HM","COMPLETED",20070802,"","","Tameside","10","Yes",-2.120516,53.47799,"","",0,1,"","",""
"9/069","Sinderland Rd /West of Barlow Rd","Puffin","ST750","Gemini GSM","",375933,389843,"RMS","","",,"","","Trafford","","",-2.363463,53.404871,"","",0,0,"","","PEDESTRIAN"
"10/223","Leigh Rd/Smiths Ln","Signal","ST900","Gemini MOVA GSM","",363869,402046,"MOVA","","",,"","","Wigan","","",-2.546325,53.513858,"","",0,0,"","",""
"2119","Northway /East of Mesnes St","Toucan","ST700","","",358291,406058,"SCOOT","JW","COMPLETED",20101214,"","","Wigan","","",-2.630982,53.549502,"","",0,1,"","","TOUCAN"
"10/227","Warrington Rd/North of Park Ln","Puffin","ST750","Gemini GSM","",360796,401232,"RMS","","",,"","","Wigan","","",-2.592562,53.506322,"","",0,0,"","","PEDESTRIAN"
"1254","Wellington St /South of Jessop St","Puffin","ST700","Unspecified","",388735,396158,"UTC_FT","","",,"","","Manchester","","",-2.171129,53.462059,"","",0,0,"","","PEDESTRIAN"
"3/169","Droylsden Rd /South of Great Newton St","Puffin","ST750","","",388264,400516,"RMS","","",,"","","Manchester","","",-2.178388,53.501219,"","",0,0,"","","PEDESTRIAN"
"5/136","Market Place /East of Long St Roundabout","Puffin","ST700","Gemini GSM","NO",387115,406041,"RMS","","",,"","","Rochdale","","",-2.195939,53.550853,"","",0,0,"","","PEDESTRIAN"
"5/145","Queens Park Rd /North of Queens Park Entrance","Puffin","ST700","Gemini GSM","",385744,411593,"RMS","","",,"","","Rochdale","","",-2.216899,53.600722,"","",0,0,"","","PEDESTRIAN"
"6/084","Agecroft Rd/Lumns Ln","Signal","ST800","Gemini MOVA GSM","",379608,401495,"MOVA","","",,"","","Salford","","",-2.30895,53.509758,"","",0,0,"","",""
"7/184","Buxton Rd /West of Yew Tree Ave","Toucan","ST700","Gemini GSM","",393015,386178,"RMS","","",,"","","Stockport","","",-2.106444,53.372428,"","",0,0,"","","TOUCAN"
"7/176","Lisburne Ln /South of Amlwch Ave","Toucan","ST700","Gemini GSM","",391882,388928,"RMS","","",,"","","Stockport","","",-2.123544,53.397132,"","",0,0,"","","TOUCAN"
"7/186","Otterspool Rd /South of Vale Rd","Toucan","ST900","Gemini GSM","",393635,389597,"RMS","","",,"","","Stockport","","",-2.097194,53.403171,"","",0,0,"","","TOUCAN"
"75","Claremont Rd /East of Maine Rd","Puffin","ST700","Unspecified","",384455,395160,"UTC_FT","","",,"","","Manchester","","",-2.235552,53.452982,"","",0,0,"","","PEDESTRIAN"
"10/224","Castle St /South of Peter St","Puffin","ST700","Gemini GSM","",368841,402078,"RMS","","",,"","","Wigan","","",-2.47135,53.514469,"","",0,0,"","","PEDESTRIAN"
"10/226","Bridge St /East of Chadwick St","Toucan","ST700","Gemini GSM","",362063,404622,"RMS","","",,"","","Wigan","","",-2.573868,53.536888,"","",0,0,"","","TOUCAN"
"3/170","Waterloo St /South of Celia St","Toucan","ST750","","",385261,401848,"RMS","","",,"","","Manchester","","",-2.223723,53.513114,"","",0,0,"","","TOUCAN"
"5/138","Rochdale Road East/Bradshaw St/Wild St","Signal","ST900","Gemini MOVA GSM","",386157,410771,"MOVA","","",,"","","Rochdale","","",-2.210615,53.593341,"","",0,0,"","",""
"5/144","Norden Rd /South of Martlet Ave","Puffin","ST700","Gemini GSM","",386355,413154,"RMS","","",,"","","Rochdale","","",-2.207734,53.614767,"","",0,0,"","","PEDESTRIAN"
"1/135","College Way /North of Wellington St","Toucan","ST750","Gemini GSM","",370914,408789,"RMS","","",,"","","Bolton","","",-2.440724,53.574904,"","",0,0,"","","TOUCAN"
"242","St Georges Rd/Duke St","Signal","ST900","Gemini UTMC","",371452,409533,"UTC_FT","","",,"","","Bolton","","",-2.432662,53.581622,"","",0,0,"","",""
"9/067","Crofts Bank Rd/Sumner Way","Signal","ST800","Gemini GSM","",376610,394911,"RMS","","",,"","","Trafford","","",-2.35366,53.450454,"","",0,0,"","",""
"7/185","Didsbury Rd /West of Greenbank Ave","Puffin","ST750","Gemini GSM","",386452,390621,"RMS","","",,"","","Stockport","","",-2.205287,53.412239,"","",0,0,"","","PEDESTRIAN"
"5/147","Edenfield Rd /East of Trinity St","Puffin","ST750","Gemini GSM","",386146,414500,"RMS","","",,"","","Rochdale","","",-2.210947,53.626858,"","",0,0,"","","PEDESTRIAN"
"277","Cricketers Way/Pavilion Square/Sainsbury Access","Signal","ST900","Gemini UTMC","",365409,405721,"SCOOT","AW","COMPLETED",20110125,"","","Bolton","","",-2.523511,53.546992,"","",0,1,"","",""
"5/134","Assheton Way /South of Long St roundabout","Puffin","ST750","Gemini GSM","",387079,405954,"RMS","","",,"","","Rochdale","","",-2.196491,53.550069,"","",0,0,"","","PEDESTRIAN"
"6/094","Broadway/Daniel Adamson Rd","Signal","ST900","Gemini MOVA GSM","",379543,397881,"MOVA","","",,"","","Salford","","",-2.309693,53.477274,"","",0,0,"","","TOUCAN"
"141","Crescent Rd/Arlington St","Signal","ST900","Unspecified","",383995,401771,"UTC_FT","","",,"","","Manchester","","",-2.242814,53.512388,"","",0,0,"","",""
"1256","Stockport Rd/Richmond Grove East","Signal","ST900","Gemini UTMC","",386339,396074,"SCOOT","CL","COMPLETE",20110601,"","","Manchester","","",-2.207227,53.461247,"","",0,1,"","",""
"9/071","Kings Rd /West of Warwick Rd South","Toucan","ST750","Gemini GSM","",381296,395221,"RMS","","",,"","","Trafford","","",-2.283128,53.453427,"","",0,0,"","","TOUCAN"
"5/135","Oldham Rd /East of Middleton Way","Double Puffin","ST750","Gemini GSM","",386955,405636,"RMS","","",,"","","Rochdale","","",-2.19834,53.547213,"","",0,0,"","","PEDESTRIAN"
"10/228","Wigan Rd /South of Osborne Rd","Puffin","ST750","Gemini GSM","",357589,399593,"RMS","","",,"","","Wigan","","",-2.6407,53.491337,"","",0,0,"","","PEDESTRIAN"
"6/087","Liverpool Rd/Boysnope Gyratory /GMW Depot Recycling Centre","Signal","ST900","Gemini MOVA GSM","",373493,395770,"MOVA","","",,"","","Salford","","",-2.400669,53.458027,"","",0,0,"","",""
"4/097","Chamber Rd/Heron St","Signal","ST900","Gemini MOVA GSM","",391515,403384,"MOVA","","",,"","","Oldham","","",-2.129467,53.527066,"","",0,0,"","",""
"4/095","Ashton Rd West /West of Partington St","Puffin","ST750","Gemini GSM","",389808,401427,"RMS","","",,"","","Oldham","","",-2.15515,53.50944,"","",0,0,"","","PEDESTRIAN"
"7/181","Stockport Rd /South of Parkway","Puffin","ST700","Gemini GSM","",386964,389106,"RMS","","",,"","","Stockport","","",-2.19752,53.398631,"","",0,0,"","","PEDESTRIAN"
